mom,id,AP,n_loci
nat08,3824,50,9
nat08,3825,55.55555555555556,9
nat08,3826,44.44444444444444,9
nat08,3837,50,9
nat08,3834,44.44444444444444,9
nat08,3835,61.111111111111114,9
nat08,3836,38.888888888888886,9
nat08,3840,55.55555555555556,9
nat09,4264,44.44444444444444,9
nat09,4267,44.44444444444444,9
nat09,4268,44.44444444444444,9
nat09,4269,61.111111111111114,9
nat09,4266,44.44444444444444,9
nat09,4262,50,9
nat09,4263A,50,6
nat09,4278,50,9
nat09,4280A,38.888888888888886,9
nat09,4280B,50,9
nat09,4271,50,9
nat09,4272,43.75,8
nat09,4273,55.55555555555556,9
nat09,4270,50,9
nat09,4275,56.25,8
nat09,4276,44.44444444444444,9
nat09,4277,62.5,8
nat09,4274,50,8
nat10,3442,64.28571428571429,7
nat10,3445,50,6
nat10,3458,56.25,8
nat10,3454,41.666666666666664,6
nat10,3463,50,8
nat10,3465,55.55555555555556,9
nat10,3467,50,8
nat11,3476B,50,9
nat11,3477,55.55555555555556,9
nat11,3478A,37.5,8
nat11,3478B,50,9
nat11,3479,31.25,8
nat11,3471,38.888888888888886,9
nat11,3472,38.888888888888886,9
nat11,3473A,50,9
nat11,3473B,50,9
nat11,3474,50,7
nat11,3475,38.888888888888886,9
nat11,3476A,50,9
nat11,3491,38.888888888888886,9
nat11,3492,43.75,8
nat11,3493,38.888888888888886,9
nat11,3495,55.55555555555556,9
nat11,3496,43.75,8
nat11,3497,56.25,8
nat11,3499,44.44444444444444,9
nat11,3480,31.25,8
nat11,3481,43.75,8
nat11,3482,50,6
nat11,3484A,31.25,8
nat11,3484B,38.888888888888886,9
nat11,3485,43.75,8
nat11,3487,37.5,8
nat11,3489,44.44444444444444,9
nat12,4689,50,9
nat12,4686,50,9
nat12,4694,38.888888888888886,9
nat12,4690,55.55555555555556,9
nat12,4691,55.55555555555556,9
nat12,4693,50,9
nat12,4704,50,9
nat12,4706,44.44444444444444,9
nat12,4695,44.44444444444444,9
nat12,4696,38.888888888888886,9
nat12,4697,38.888888888888886,9
nat12,4698,50,9
nat12,4700,38.888888888888886,9
nat12,4701,50,9
nat12,4702,50,9
nat13,4460,38.888888888888886,9
nat13,4461,33.333333333333336,9
nat13,4462B,50,8
nat13,4476,56.25,8
nat13,4477,44.44444444444444,9
nat13,4478,44.44444444444444,9
nat13,4479,50,8
nat13,4469,44.44444444444444,9
nat13,4464,55.55555555555556,9
nat13,4466,44.44444444444444,9
nat13,4468,38.888888888888886,9
nat13,4475,50,9
nat13,4470,50,9
nat13,4471,43.75,8
nat13,4474,43.75,8
nat14,3898,62.5,8
nat14,3899,50,9
nat14,3900,50,9
nat14,3902,38.888888888888886,9
nat14,3903,44.44444444444444,9
nat14,3904,44.44444444444444,9
nat14,3905,38.888888888888886,9
nat14,3891,38.888888888888886,9
nat14,3892,55.55555555555556,9
nat14,3893,44.44444444444444,9
nat14,3894,38.888888888888886,9
nat14,3895,44.44444444444444,9
nat14,3896,38.888888888888886,9
nat14,3897,38.888888888888886,9
nat14,3890,44.44444444444444,9
nat15,5062,38.888888888888886,9
nat15,5061,55.55555555555556,9
nat15,5067,62.5,8
nat15,5070,38.888888888888886,9
nat15,5075,43.75,8
nat16,3961,44.44444444444444,9
nat16,3979,50,9
nat16,3972,68.75,8
nat16,3974,44.44444444444444,9
nat16,3975,56.25,8
nat16,3987,44.44444444444444,9
nat16,3982,44.44444444444444,9
nat16,3983,56.25,8
nat16,3984,44.44444444444444,9
nat17,4556,44.44444444444444,9
nat17,4557,50,9
nat17,4558A,62.5,8
nat17,4558B,50,9
